DATAFLOW,REF_AREA:Geographic area,INDICATOR:Indicator,SEX:Sex,TIME_PERIOD:Time period,OBS_VALUE:Observation Value,UNIT_MULTIPLIER:Unit multiplier,UNIT_MEASURE:Unit of measure,OBS_STATUS:Observation Status,OBS_CONF:Observation confidentaility,LOWER_BOUND:Lower Bound,UPPER_BOUND:Upper Bound,WGTD_SAMPL_SIZE:Weighted Sample Size,OBS_FOOTNOTE:Observation footnote,SERIES_FOOTNOTE:Series footnote,DATA_SOURCE:Data Source,SOURCE_LINK:Citation of or link to the data source,CUSTODIAN:Custodian,TIME_PERIOD_METHOD:Time period activity related to when the data are collected,REF_PERIOD:Reference Period,COVERAGE_TIME:The period of time for which data are provided,AGE:Current age
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AFG: Afghanistan,CME_ARR_10T19: Annual Rate of Reduction in Mortality Rate Age 10-19,_T: Total,2021,-0.2,,PCNT: %,A: Normal value,,,,,,,UN_IGME,,,,2000-2020,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AFG: Afghanistan,CME_ARR_SBR: Annual rate of reduction in stillbirth rate (over previous 20 years),_T: Total,2019,1.388107633,,PCNT: %,A: Normal value,,,,,,,UN_IGME,,,,2000-2019,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AFG: Afghanistan,CME_ARR_U5MR: Annual rate of reduction in under-five mortality rate (over previous 20 years),_T: Total,2020,4,,PCNT: %,A: Normal value,,2.7,5.4,,,,UN_IGME,,,,2000-2020,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AFG: Afghanistan,CME_MRM0: Neonatal mortality rate,_T: Total,1987,78.87278544,,"D_PER_1000_B: Deaths per 1,000 live births",A: Normal value,,69.27213546,89.48203998,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AFG: Afghanistan,CME_MRM0: Neonatal mortality rate,_T: Total,1988,77.34727937,,"D_PER_1000_B: Deaths per 1,000 live births",A: Normal value,,68.3383361,87.4446435,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AFG: Afghanistan,CME_MRM0: Neonatal mortality rate,_T: Total,1989,75.85297487,,"D_PER_1000_B: Deaths per 1,000 live births",A: Normal value,,67.26066852,85.36108454,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AFG: Afghanistan,CME_MRM0: Neonatal mortality rate,_T: Total,1990,74.29202588,,"D_PER_1000_B: Deaths per 1,000 live births",A: Normal value,,66.32008128,83.22659371,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AFG: Afghanistan,CME_MRM0: Neonatal mortality rate,_T: Total,1991,72.80554646,,"D_PER_1000_B: Deaths per 1,000 live births",A: Normal value,,65.21680969,81.10775604,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AFG: Afghanistan,CME_MRM0: Neonatal mortality rate,_T: Total,1992,71.30821986,,"D_PER_1000_B: Deaths per 1,000 live births",A: Normal value,,64.06593146,79.19247969,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AFG: Afghanistan,CME_MRM0: Neonatal mortality rate,_T: Total,1993,69.84576666,,"D_PER_1000_B: Deaths per 1,000 live births",A: Normal value,,62.87180152,77.34883562,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AFG: Afghanistan,CME_MRM0: Neonatal mortality rate,_T: Total,1994,68.35299995,,"D_PER_1000_B: Deaths per 1,000 live births",A: Normal value,,61.5666563,75.59633259,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AFG: Afghanistan,CME_MRM0: Neonatal mortality rate,_T: Total,1995,66.96474985,,"D_PER_1000_B: Deaths per 1,000 live births",A: Normal value,,60.47927227,73.86650456,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AFG: Afghanistan,CME_MRM0: Neonatal mortality rate,_T: Total,1996,65.65493669,,"D_PER_1000_B: Deaths per 1,000 live births",A: Normal value,,59.42928754,72.3554259,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AFG: Afghanistan,CME_MRM0: Neonatal mortality rate,_T: Total,1997,64.43007223,,"D_PER_1000_B: Deaths per 1,000 live births",A: Normal value,,58.47140169,70.84265379,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AFG: Afghanistan,CME_MRM0: Neonatal mortality rate,_T: Total,1998,63.23556245,,"D_PER_1000_B: Deaths per 1,000 live births",A: Normal value,,57.44421065,69.4751724,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AFG: Afghanistan,CME_MRM0: Neonatal mortality rate,_T: Total,1999,62.05722733,,"D_PER_1000_B: Deaths per 1,000 live births",A: Normal value,,56.42372509,68.15345836,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AFG: Afghanistan,CME_MRM0: Neonatal mortality rate,_T: Total,2000,60.89312676,,"D_PER_1000_B: Deaths per 1,000 live births",A: Normal value,,55.40566834,66.77594092,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AFG: Afghanistan,CME_MRM0: Neonatal mortality rate,_T: Total,2001,59.68578607,,"D_PER_1000_B: Deaths per 1,000 live births",A: Normal value,,54.23041067,65.54959771,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AFG: Afghanistan,CME_MRM0: Neonatal mortality rate,_T: Total,2002,58.47402738,,"D_PER_1000_B: Deaths per 1,000 live births",A: Normal value,,53.11909963,64.19370966,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AFG: Afghanistan,CME_MRM0: Neonatal mortality rate,_T: Total,2003,57.19491987,,"D_PER_1000_B: Deaths per 1,000 live births",A: Normal value,,52.00844037,62.84346046,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AFG: Afghanistan,CME_MRM0: Neonatal mortality rate,_T: Total,2004,55.93963044,,"D_PER_1000_B: Deaths per 1,000 live births",A: Normal value,,50.79499842,61.4047029,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AFG: Afghanistan,CME_MRM0: Neonatal mortality rate,_T: Total,2005,54.58336908,,"D_PER_1000_B: Deaths per 1,000 live births",A: Normal value,,49.69343141,59.81636028,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AFG: Afghanistan,CME_MRM0: Neonatal mortality rate,_T: Total,2006,53.18653174,,"D_PER_1000_B: Deaths per 1,000 live births",A: Normal value,,48.46986387,58.28940517,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AFG: Afghanistan,CME_MRM0: Neonatal mortality rate,_T: Total,2007,51.73589566,,"D_PER_1000_B: Deaths per 1,000 live births",A: Normal value,,47.15445908,56.77975191,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AFG: Afghanistan,CME_MRM0: Neonatal mortality rate,_T: Total,2008,50.29513549,,"D_PER_1000_B: Deaths per 1,000 live births",A: Normal value,,45.80252774,55.32466706,,,,UN_IGME,,,,,,_T: Total
